Akers Pond,Lake
Arlington Mill Reservoir,Lake
Ashuelot Pond,Lake
Ayers Island Reservoir,Lake
Baboosic Lake,Lake
Back Lake,Lake
Balch/Stump Pond,Lake
Baxter Lake,Lake
Bellamy Reservoir,Lake
Bow Lake,Lake
Broad Bay,Lake
Canaan Street Lake,Lake
Canobie Lake,Lake
Cedar Pond,Lake
Chocorua Lake,Lake
Christine Lake,Lake
CobbettsPond,Lake
Comerford Reservoir,Lake
Contoocook Lake,Lake
Conway Lake,Lake
Country Pond,Lake
Crystal Lake (Enfield),Lake
Crystal Lake (Gilmanton),Lake
Crystal Lake (Manchester),Lake
Dan Hole Pond,Lake
Deering Reservoir,Lake
Dublin Pond,Lake
Eastman Pond,Lake
Echo  Lake (Franconia Notch),Lake
Echo Lake (North Conway) ,Lake
First Connecticut Lake,Lake
Fourth Connecticut Lake,Lake
Francis  Lake (Murphy Dam),Lake
Franklin Pierce Lake,Lake
Goose Pond,Lake
Grafton Pond,Lake
Great East Lake,Lake
Great Pond,Lake
Greenough Pond,Lake
Halfmoon Lake,Lake
Harrisville Pond,Lake
Highland Lake,Lake
Hopkins Pond (Adder),Lake
Horn Pond,Lake
Island (Cheshire County) Pond,Lake
Island (Rockingham County) Pond,Lake
Ivanhoe Lake,Lake
Jenness Pond,Lake
Kanasatka Lake,Lake
Lakes of the Clouds Lake,Lake
Little Squam Lake,Lake
Little Sunapee Lake,Lake
Locke Lake,Lake
Lonesome Lake,Lake
Lovell Lake,Lake
Mascoma Lake,Lake
Massabesic Lake,Lake
Massasecum Lake,Lake
McIndoes Reservoir,Lake
Mendums Pond,Lake
Merrymeeting Lake,Lake
MiltonPond,Lake
Mirror Lake,Lake
Monomonac Lake,Lake
Moore Reservoir,Lake
Newfound Lake,Lake
Northeast Pond,Lake
Northwood Lake,Lake
Nubanusit Lake,Lake
Opechee Bay,Lake
Ossipee Lake,Lake
Paugus Bay,Lake
Pawtuckaway Lake,Lake
Pearly Lake,Lake
Pemigewasset Lake,Lake
Penacook Lake,Lake
Pine Pond,Lake
Pleasant Lake (Deerfield),Lake
Pleasant Lake (New London),Lake
Pontook Reservoir,Lake
Potanipo Pond,Lake
Powder Mill Pond,Lake
Powwow Pond,Lake
Profile Lake,Lake
Province Lake,Lake
Sebbins Pond,Lake
Second Connecticut Lake,Lake
Silver Lake (Harrisville) ,Lake
Silver Lake (Hollis) ,Lake
Silver Lake (Madison),Lake
Skatutakee Lake,Lake
Solitude Lake,Lake
Spofford Lake,Lake
Squam Lake,Lake
Stinson Lake,Lake
Success Pond,Lake
Sunapee Lake,Lake
Suncook Lake,Lake
Sunrise Lake,Lake
Sunset Lake (Region),Lake
Surry Mountain Lake,Lake
Swains Lake,Lake
Tarleton Lake,Lake
Third Connecticut Lake,Lake
Thorndike Pond,Lake
Turkeys Pond,Lake
Tuxbury Pond,Lake
Umbagog Lake,Lake
Waukewan Lake,Lake
Weare Reservoir,Lake
Webster Lake,Lake
Wentworth Lake,Lake
White Oak Pond,Lake
Wickwas Lake,Lake
Willard Pond,Lake
Winnipesaukee Lake,Lake
Winnisquam Lake,Lake
Ammonoosuc River,River
Ashuelot River,River
Baboosic Brook,River
Back River (Powwow),River
Baker River (New Hampshire),River
Bean River,River
Bear Brook (Suncook),River
Bearcamp River,River
Beards Brook,River
Beaver Brook (Merrimack),River
Beebe River,River
Beech River (New Hampshire),River
Bellamy River,River
Berrys River,River
Big River (New Hampshire),River
Black Brook (Merrimack),River
Blackwater River (Contoocook),River
Blackwater River (Massachusetts – New Hampshire),River
Blow-me-down Brook,River
Branch River (New Hampshire),River
Browns River (New Hampshire),River
Chickwolnepy Stream,River
Chocorua River,River
Clear Stream,River
Cochecho River,River
Cockermouth River,River
Cohas Brook,River
Cold River (Bearcamp),River
Cold River (Connecticut),River
Cold River (Maine – New Hampshire),River
Connecticut River,River
Contoocook River,River
Cutler River (New Hampshire),River
Dan Hole River,River
Dead Diamond River,River
Dead River (New Hampshire),River
Deer River (New Hampshire),River
Drakes River,River
Dry River (New Hampshire),River
East Branch Baker River,River
East Branch Dead Diamond River,River
East Branch Mohawk River (New Hampshire),River
East Branch Pemigewasset River,River
East Branch Saco River,River
East Branch Whiteface River,River
East Fork East Branch Saco River,River
Ela River,River
Ellis River (New Hampshire),River
Exeter River,River
Fowler River,River
FrazierBrook,River
Fresh River (New Hampshire),River
Gale River,River
Great Brook (Cold),River
Gridley River,River
Gunstock River,River
Halls Stream,River
Ham Branch,River
Hampton Falls River,River
Hampton River (New Hampshire),River
Indian River (New Hampshire),River
Indian Stream,River
Isinglass River,River
Israel River,River
Johns (New Hampshire) River,River
Jones Brook,River
Knox River,River
Lamprey River,River
Lane River,River
Little Cold River,River
Little Dead Diamond River,River
Little Magalloway River,River
Little Massabesic-Sucker Brook,River
Little River (Ammonoosuc),River
Little River (Big),River
Little River (Brentwood New Hampshire),River
Little River (Exeter New Hampshire),River
Little River (Lamprey),River
Little River (Merrimack),River
Little River (New Hampshire Atlantic coast),River
Little Sugar River (New Hampshire),River
Little Suncook River,River
Lost River (New Hampshire),River
Lovell River,River
Mad River (Cocheco),River
Mad River (Cold),River
Mad River (Pemigewasset),River
Magalloway River,River
Mascoma River,River
Melvin River,River
Merrimack River,River
Merrymeeting River,River
Middle Branch Dead Diamond River,River
Middle Branch Little Magalloway River,River
Middle Branch Mad River,River
Middle Branch Piscataquog River,River
Mill Brook (Swift),River
Mink Brook,River
Mirey Brook,River
Mohawk River (New Hampshire),River
Mollidgewock Brook,River
Moose Brook (New Hampshire),River
Moose River (New Hampshire),River
Nash Stream,River
Nashua River,River
New (New Hampshire) River,River
Newfound (New Hampshire) River,River
Nissitissit River,River
North Branch Contoocook River,River
North Branch Gale River,River
North Branch Millers River,River
North Branch River,River
North Branch Sugar River,River
North Branch Upper Ammonoosuc River,River
North Fork East Branch Pemigewasset River,River
North (New Hampshire) River,River
Nubanusit Brook,River
Old River (New Hampshire),River
Oliverian Brook,River
Ossipee River,River
Otter Brook (Ashuelot) ,River
Oyster River (New Hampshire) ,River
Partridge Brook,River
Pawtuckaway River,River
Peabody River,River
Pemigewasset River,River
Pennichuck Brook,River
Pequawket Brook,River
Perry Stream,River
Phillips Brook,River
Pine River (New Hampshire),River
Piscassic River,River
Piscataqua River,River
Piscataquog River,River
Powwow River,River
Purgatory Brook,River
Rattle River,River
Rattlesnake River,River
Red Hill River,River
Rocky Branch (New Hampshire),River
Salmon (Merrimack) Brook,River
Sawyer River,River
Shedd Brook,River
Shepards River,River
Simms Stream,River
Smith River (Pemigewasset),River
Soucook River,River
Souhegan River,River
South Branch Ashuelot River,River
South Branch Baker River,River
South Branch Gale River,River
South Branch Israel River,River
South Branch Little Dead Diamond River,River
South Branch Mad River,River
South Branch Piscataquog River,River
South Branch Souhegan River,River
South Branch Sugar River,River
South (Ossipee) River,River
Spicket River,River
Squam River,River
Squamscott River,River
Stocker Brook,River
Stony Brook (Souhegan),River
Sugar River (New Hampshire),River
Suncook River,River
Swift Diamond River,River
Swift River (Bearcamp),River
Tarbell Brook,River
Taylor River (New Hampshire),River
The Branch,River
Tioga River (New Hampshire),River
Turkey River (New Hampshire),River
Upper Ammonoosuc River,River
Warner River,River
West Branch (New Hampshire),River
West Branch Dead Diamond River,River
West Branch Little Dead Diamond River,River
West Branch Little Magalloway River,River
West Branch Mad River,River
West Branch Magalloway River,River
West Branch Mohawk River (New Hampshire),River
West Branch Peabody River,River
West Branch Souhegan River,River
West Branch Upper Ammonoosuc River,River
West Branch Warner River,River
Whiteface River (New Hampshire),River
Wild Ammonoosuc River,River
Wild River (Androscoggin),River
Winnicut River,River
Winnipesaukee River,River
Wonalancet River,River
Zealand River,River